Time;FACT_P_L;PRED_P_L
2022-02-17 08:00:00;183.54562275035997;243.2674412622915
2022-02-17 09:00:00;173.3989677830448;247.63114446219296
2022-02-17 10:00:00;168.78508451160974;244.77990961410794
2022-02-17 11:00:00;167.64910367924915;235.13085861913842
2022-02-17 12:00:00;162.1271340937763;228.49228109602856
2022-02-17 13:00:00;157.80281714029638;238.2249870174268
2022-02-17 14:00:00;132.30471263989207;269.7350905113846
2022-02-17 15:00:00;128.8334293906935;169.58746429781164
2022-02-17 16:00:00;145.2513068525583;167.91964551480066
2022-02-17 17:00:00;189.51086198433282;159.1833181067901
2022-02-17 18:00:00;212.81901652416764;144.07627564063537
2022-02-17 19:00:00;194.9364034094719;127.36213901061957
2022-02-17 20:00:00;175.90615472020133;114.74849139166129
2022-02-17 21:00:00;172.57581027005722;109.26760943788999
2022-02-17 22:00:00;203.12968921337043;109.54669632206996
2022-02-17 23:00:00;218.88459693196205;111.30575375989703
2022-02-18 00:00:00;233.03036680689604;110.77974338179243
2022-02-18 01:00:00;230.52480814051316;107.2542178947909
2022-02-18 02:00:00;199.013800949045;102.8347228297298
2022-02-18 03:00:00;204.4344934672027;100.00977315525714
2022-02-18 04:00:00;217.3934728755347;99.29854995465458
2022-02-18 05:00:00;229.06625626310498;98.88540982363315
2022-02-18 06:00:00;222.2841046035478;96.22552061049686
2022-02-18 07:00:00;199.97409015515635;91.4783752384524
2022-02-18 08:00:00;233.63012561429355;80.92374315317765
2022-02-18 09:00:00;229.67973384351387;70.88943935563498
2022-02-18 10:00:00;222.51705194373886;61.804560413410684
2022-02-18 11:00:00;182.39739087395807;54.73048183078586
2022-02-18 12:00:00;181.02194254458675;49.82507124797177
2022-02-18 13:00:00;147.73028741209532;46.590518434007016
2022-02-18 14:00:00;183.85665553944636;44.070240453913534
2022-02-18 15:00:00;215.7110196742855;148.57755536774874
2022-02-18 16:00:00;227.53310050944933;136.2271538631606
2022-02-18 17:00:00;233.40323865786934;125.08193074883155
2022-02-18 18:00:00;195.27623706596034;113.72328882652906
2022-02-18 19:00:00;196.90644747288792;101.65293959486
2022-02-18 20:00:00;228.90074903461522;90.724914884665
2022-02-18 21:00:00;191.80676876634027;83.9568111498748
2022-02-18 22:00:00;199.50193956136673;82.92285983202427
2022-02-18 23:00:00;216.5040777718133;86.09315280346195
2022-02-19 00:00:00;233.5656917382525;89.68293395442215
2022-02-19 01:00:00;238.62696471668178;90.3066060772424
2022-02-19 02:00:00;205.4273923804967;87.16296530389425
2022-02-19 03:00:00;244.13143603091822;82.02660933934953
2022-02-19 04:00:00;249.84950905204093;77.33819301465316
2022-02-19 05:00:00;248.43350313997612;74.22170879837297
2022-02-19 06:00:00;250.3717561757246;72.00027579366257
2022-02-19 07:00:00;247.04899924803507;69.88261895667291
2022-02-19 08:00:00;246.4955700745499;64.94655574207091
2022-02-19 09:00:00;245.91889816915287;59.18407506392228
2022-02-19 10:00:00;210.5123872017269;52.42229140482705
2022-02-19 11:00:00;202.50888591365262;45.05174567569771
2022-02-19 12:00:00;227.95614825876876;37.277701331978584
2022-02-19 13:00:00;216.2650767055452;29.38568462140437
2022-02-19 14:00:00;199.42236416020566;21.83897555140089
2022-02-19 15:00:00;185.78901197231642;246.48716864497342
2022-02-19 16:00:00;185.41126147896975;276.194246040564
2022-02-19 17:00:00;192.60704638619183;297.77124727511364
2022-02-19 18:00:00;207.8620938908727;302.41582910225907
2022-02-19 19:00:00;180.425286307345;291.51570482218676
2022-02-19 20:00:00;215.76295356975535;276.2165490965493
2022-02-19 21:00:00;199.4433342821152;268.7384970145551
2022-02-19 22:00:00;226.31077534901414;273.3665446881125
2022-02-19 23:00:00;225.68008431659226;284.668028414936
2022-02-20 00:00:00;221.53507451278395;293.8803996270478
2022-02-20 01:00:00;223.82751159245979;297.13534254096857
